,home_team,visitor_team,home_points,visitor_points,winner,favorite,spread,total,cover,over,date,age_diff,sos_diff,srs_diff,off_rtg_diff,def_rtg_diff,net_rtg_diff,pace_diff,fta_per_fga_pct_diff,fg3a_per_fga_pct_diff,ts_pct_diff,efg_pct_diff,tov_pct_diff,orb_pct_diff,ft_rate_diff,opp_efg_pct_diff,opp_tov_pct_diff,drb_pct_diff,opp_ft_rate_diff
0,newyorkknicks,bostonceltics,106,104,2,NewYork,-4.5,189,0,1,1225,-3.0,-0.55,0.13,3.4,2.8,0.6,2.8,0.05,0.09,-0.0,-0.0,0.2,6.9,0.03,0.03,1.0,1.3,0.01
1,dallasmavericks,miamiheat,94,105,-11,Miami,4.5,190,0,1,1225,3.0,1.1,-3.94,-3.3,2.1,-5.4,0.2,-0.06,0.07,-0.02,-0.02,-1.1,-3.2,-0.05,0.0,-1.9,0.9,0.0
2,lalakers,chicagobulls,87,88,-1,Chicago,5,183.5,1,0,1225,2.6,1.3,-5.47,-1.4,6.1,-7.5,1.4,0.04,0.0,0.01,0.0,1.0,-3.5,0.04,0.03,-2.1,0.5,-0.02
3,oklahomacitythunder,orlandomagic,97,89,8,OklahomaCity,-7.5,194.5,1,0,1225,-2.4,0.65,5.98,4.8,-0.9,5.7,4.0,0.04,-0.09,0.03,0.01,0.8,1.3,0.08,-0.02,0.1,-3.4,0.02
4,goldenstatewarriors,laclippers,86,105,-19,LAClippers,4.5,209,0,0,1225,-2.0,0.36,-5.61,-3.1,3.4,-6.5,3.1,-0.06,-0.02,0.01,0.0,0.6,-6.6,-0.02,0.0,-0.6,-4.1,-0.01
5,clevelandcavaliers,torontoraptors,96,104,-8,Cleveland,-2.0,194,0,1,1226,0.3,0.22,-3.67,0.3,4.4,-4.1,2.0,0.03,0.03,-0.01,-0.01,-0.5,3.0,0.01,0.03,0.3,-3.2,-0.06
6,washingtonwizards,newjerseynets,84,90,-6,Washington,-3.5,189,0,0,1226,-1.9,0.05,1.23,-1.9,-3.4,1.5,2.4,-0.02,-0.08,-0.01,-0.0,-0.1,-0.5,-0.03,-0.02,0.5,0.2,0.02
7,orlandomagic,houstonrockets,104,95,9,Orlando,-6.5,194.5,1,1,1226,1.3,-0.68,-0.11,-0.5,-1.1,0.6,-2.7,0.06,0.11,0.0,0.01,1.0,-1.0,0.01,-0.0,-0.9,2.1,-0.02
8,indianapacers,detroitpistons,91,79,12,Indiana,-8.0,192,1,0,1226,0.0,-0.31,7.79,5.7,-3.2,8.9,1.5,0.04,0.02,0.02,0.01,-1.9,1.1,0.04,-0.02,-0.1,-0.5,-0.0
9,charlottebobcats,milwaukeebucks,96,95,1,Milwaukee,4,178,1,1,1226,-1.7,0.45,-13.73,-10.3,5.2,-15.5,-2.6,0.03,-0.06,-0.04,-0.04,1.0,-4.1,0.01,0.02,-1.8,0.0,-0.01
10,minnesotatimberwolves,oklahomacitythunder,100,104,-4,OklahomaCity,5.5,206.5,1,0,1226,-0.7,0.05,-8.27,-5.5,3.4,-8.9,0.3,-0.03,0.01,-0.04,-0.04,-1.3,-0.3,-0.03,0.03,-0.8,0.9,-0.02
11,dallasmavericks,denvernuggets,93,115,-22,Dallas,-4.5,200.5,0,1,1226,4.7,0.54,-1.38,-5.9,-3.9,-2.0,-2.8,-0.08,0.03,-0.03,-0.03,-0.7,-4.3,-0.05,-0.03,-0.4,0.5,0.02
12,sanantoniospurs,memphisgrizzlies,95,82,13,SanAntonio,-5.0,193,1,0,1226,1.9,-0.31,4.85,6.9,1.4,5.5,2.1,-0.02,0.1,0.05,0.06,-0.8,-4.7,-0.02,0.0,-3.4,3.3,-0.06
13,phoenixsuns,neworleanshornets,84,85,-1,Phoenix,-6.0,191.5,0,0,1226,3.4,-0.12,3.4,5.3,1.4,3.9,4.3,-0.02,0.09,0.02,0.02,-1.9,-1.7,-0.01,0.01,-0.4,-1.4,-0.02
14,portlandtrailblazers,philadelphia76ers,107,103,4,Portland,-5.0,187,0,1,1226,2.6,1.06,-3.81,1.8,7.2,-5.4,1.5,0.05,0.08,0.02,0.01,2.5,1.9,0.05,0.04,0.6,-2.4,0.01
15,sacramentokings,lalakers,100,91,9,LALakers,3,193.5,1,0,1226,-5.4,0.19,-6.91,-2.2,5.4,-7.6,4.2,-0.03,0.02,-0.02,-0.02,-1.2,0.0,-0.03,0.04,3.2,-4.3,0.04
16,goldenstatewarriors,chicagobulls,99,91,8,Chicago,6.5,190.5,1,0,1226,-1.8,1.38,-10.22,-2.0,10.8,-12.8,3.2,-0.03,0.04,0.02,0.01,0.1,-9.7,-0.01,0.05,0.8,-5.2,0.06
17,newjerseynets,atlantahawks,70,106,-36,Atlanta,4,176.5,0,0,1227,-1.8,0.38,-9.04,-2.0,8.4,-10.4,-0.1,0.01,0.03,-0.02,-0.03,0.9,3.9,0.02,0.03,-0.7,-3.7,0.02
18,miamiheat,bostonceltics,115,107,8,Miami,-9.5,187,0,1,1227,-1.0,-0.01,3.46,5.6,2.0,3.6,0.8,0.05,0.0,0.01,0.01,-0.2,6.9,0.04,0.03,0.9,1.5,-0.02
19,milwaukeebucks,minnesotatimberwolves,98,95,3,Milwaukee,-5.5,192.5,0,1,1227,1.8,-0.87,1.6,1.2,-1.4,2.6,0.4,-0.06,-0.04,-0.0,0.0,-1.1,0.2,-0.04,-0.0,2.4,-2.1,0.03
20,portlandtrailblazers,sacramentokings,101,79,22,Portland,-8.5,196.5,1,0,1227,3.2,-0.32,4.73,1.9,-3.4,5.3,-3.5,-0.01,0.03,0.02,0.02,0.4,-2.8,0.01,-0.01,0.2,2.3,0.0
21,lalakers,utahjazz,96,71,25,LALakers,-5.5,188.5,1,0,1227,4.1,0.24,1.04,-0.8,-1.7,0.9,-0.9,-0.0,0.06,0.01,0.01,1.2,-1.1,-0.0,-0.02,-3.1,1.0,-0.09
22,torontoraptors,indianapacers,85,90,-5,Indiana,4,193.5,0,0,1228,-0.6,0.35,-6.27,-5.9,1.4,-7.3,-1.4,-0.05,0.01,-0.01,0.0,1.7,-3.3,-0.04,-0.0,-1.3,3.1,0.04
23,charlottebobcats,miamiheat,95,96,-1,Miami,11,195,1,0,1228,-3.8,0.22,-19.68,-11.4,10.2,-21.6,-0.1,-0.03,-0.03,-0.07,-0.07,-0.6,-3.0,-0.03,0.03,-3.0,-3.0,0.01
24,atlantahawks,washingtonwizards,101,83,18,Atlanta,-8.5,185.5,1,0,1228,3.7,-0.43,7.81,3.9,-5.0,8.9,-2.3,0.01,0.05,0.03,0.03,-0.8,-3.4,0.01,-0.01,0.2,3.5,-0.04
25,detroitpistons,clevelandcavaliers,89,105,-16,Detroit,-5.5,187,0,1,1228,0.3,-0.26,2.15,-0.1,-2.6,2.5,-2.1,-0.03,-0.06,0.01,0.01,0.7,-0.8,-0.01,-0.01,1.1,0.6,0.02
26,neworleanshornets,bostonceltics,97,78,19,Boston,4.5,174,1,1,1228,-3.8,0.91,-5.37,-0.1,6.9,-7.0,-2.1,0.02,-0.04,-0.02,-0.02,0.5,7.8,0.01,0.03,-1.4,0.7,0.0
27,memphisgrizzlies,oklahomacitythunder,95,98,-3,OklahomaCity,1,192,0,1,1228,0.5,0.1,-4.01,-5.8,-1.4,-4.4,-2.2,-0.06,-0.1,-0.05,-0.04,-1.7,2.0,-0.06,0.02,3.3,0.6,0.02
28,sanantoniospurs,laclippers,115,90,25,SanAntonio,-4.5,198.5,1,1,1228,0.2,-0.15,4.46,2.4,-2.5,4.9,3.7,-0.03,-0.01,0.03,0.03,0.1,-4.4,0.0,-0.0,-1.3,2.8,-0.08
29,phoenixsuns,philadelphia76ers,83,103,-20,Philadelphia,1.5,197,0,0,1228,4.0,1.18,-3.3,2.3,7.3,-5.0,2.9,0.04,0.06,0.03,0.02,2.4,1.4,0.03,0.03,-0.4,-3.5,0.01
30,denvernuggets,utahjazz,117,100,17,Denver,-12.5,200.5,1,1,1228,1.0,-0.01,2.24,2.4,0.1,2.3,2.8,0.02,0.09,0.03,0.04,1.1,-2.5,0.01,0.01,0.5,0.5,-0.06
31,goldenstatewarriors,newyorkknicks,92,78,14,NewYork,6,208.5,1,0,1228,-1.0,1.43,-5.18,1.0,8.1,-7.1,-0.9,-0.08,-0.04,0.01,0.01,-1.6,-3.7,-0.05,0.01,-2.3,-4.6,0.01
32,orlandomagic,newjerseynets,94,78,16,Orlando,-11.5,181,1,0,1229,1.4,0.06,6.83,2.1,-5.5,7.6,-1.1,0.02,0.07,0.02,0.03,0.2,-1.3,-0.02,-0.03,-0.8,4.8,-0.02
33,houstonrockets,sanantoniospurs,105,85,20,SanAntonio,3,197.5,1,0,1229,-1.3,0.24,-6.71,-5.4,2.0,-7.4,-1.2,-0.03,-0.02,-0.03,-0.04,0.7,2.4,-0.01,0.0,0.9,-2.6,0.04
34,oklahomacitythunder,dallasmavericks,104,102,2,OklahomaCity,-5.0,195,0,1,1229,-6.2,-0.51,4.66,6.5,0.9,5.6,1.6,0.09,-0.02,0.04,0.03,1.9,4.4,0.08,-0.01,-0.9,-2.7,0.0
35,portlandtrailblazers,denvernuggets,111,102,9,Portland,-6.0,202,1,1,1229,0.9,0.12,-3.38,-3.5,0.2,-3.7,-3.0,-0.06,0.01,-0.03,-0.03,-0.7,-1.4,-0.03,-0.0,-0.2,-1.5,0.01
36,sacramentokings,chicagobulls,98,108,-10,Chicago,8,188,0,1,1229,-2.8,1.49,-12.38,-3.6,11.5,-15.1,5.6,0.01,0.02,-0.01,-0.02,-0.2,-3.5,0.01,0.07,1.1,-3.8,0.02
37,lalakers,newyorkknicks,99,82,17,LALakers,-3.5,195,1,0,1229,3.4,1.35,-0.43,1.6,3.4,-1.8,-2.7,-0.01,-0.08,0.0,-0.0,-0.7,2.5,-0.0,-0.01,-5.2,1.1,-0.07
